2022-10-28 11:55:23.193; Monitoring; 1; 32; 5000; 6.500; BA DC
2022-10-28 11:56:23.693; Monitoring; 1; 32; 5000; 6.500; BA DC
2022-10-28 11:57:23.855; Monitoring; 1; 32; 5000; 5.541; BA DC
2022-10-28 11:58:24.593; Monitoring; 0; 32; 5000; 5.541; BA DC
2022-10-28 11:59:24.683; Monitoring; 1; 32; 5000; 5.540; BA DC
2022-10-28 12:00:55.898; Monitoring; 1; 32; 5000; 5.540; BA DC
2022-10-28 12:01:56.126; Monitoring; 0; 32; 5000; 5.540; BA DC
2022-10-28 12:04:39.987; Monitoring; 0; 32; 5000; 5.541; BA DC
2022-10-28 12:05:40.837; Monitoring; 1; 32; 5000; 5.541; BA DC
2022-10-28 12:06:41.507; Monitoring; 0; 32; 5000; 5.541; BA DC
2022-10-28 12:07:47.418; Monitoring; 1; 32; 5000; 6.500; BA DC
2022-11-14 10:47:56.648; Monitoring; 0; 32; 5000; 6.500; BA DC
2022-11-14 10:48:57.011; Monitoring; 1; 32; 5000; 6.500; BA DC
2022-11-14 10:49:57.828; Monitoring; 1; 32; 5000; 6.500; BA DC
2022-11-14 10:50:58.356; Monitoring; 1; 32; 5000; 6.500; BA DC
2022-11-16 12:52:33.964; Monitoring; 1; 32; 5000; 5.539; BA DC
2022-11-28 13:55:07.068; Monitoring; 1; 1; 1000; 6.500; ExG16
2022-11-28 13:56:07.708; Monitoring; 0; 16; 1000; 6.500; ExG16
2022-11-28 13:57:08.352; Monitoring; 0; 16; 1000; 5.526; ExG16
2022-11-28 13:58:09.033; Monitoring; 0; 16; 1000; 5.526; ExG16
2022-11-28 13:59:09.058; Monitoring; 0; 16; 1000; 5.526; ExG16
2022-11-28 14:00:09.171; Monitoring; 1; 16; 1000; 5.526; ExG16
2022-11-28 14:01:09.541; Monitoring; 0; 16; 1000; 5.526; ExG16
2022-11-28 14:23:50.300; Monitoring; 1; 16; 1000; 5.526; ExG16
2022-11-28 14:31:59.374; Monitoring; 0; 16; 1000; 5.526; ExG16
2022-11-28 14:34:38.314; Monitoring; 0; 16; 1000; 5.526; ExG16
2022-11-28 14:35:38.861; Monitoring; 0; 16; 1000; 5.527; ExG16
2022-11-28 14:36:38.870; Monitoring; 0; 16; 1000; 5.527; ExG16
2022-11-28 14:37:49.819; Monitoring; 0; 16; 1000; 5.527; ExG16
2022-11-28 14:38:50.651; Monitoring; 1; 16; 1000; 5.527; ExG16
2022-11-30 11:17:00.896; ImpedanceCheck; 0; 32; 1000; 5.538; BA DC
2022-11-30 11:18:01.039; Monitoring; 1; 32; 1000; 5.538; BA DC
2022-11-30 11:19:01.792; Monitoring; 1; 32; 1000; 5.538; BA DC
2022-11-30 11:20:01.873; Monitoring; 1; 32; 1000; 5.538; BA DC
2022-11-30 11:21:10.708; Monitoring; 1; 32; 1000; 5.538; BA DC
2022-11-30 11:22:10.700; Monitoring; 0; 32; 1000; 5.538; BA DC
2022-11-30 11:24:20.893; Monitoring; 0; 32; 1000; 5.538; BA DC
2022-11-30 11:25:20.887; Monitoring; 1; 32; 1000; 5.538; BA DC
2022-11-30 11:26:20.917; Monitoring; 0; 32; 1000; 5.538; BA DC
2022-11-30 11:27:51.884; Monitoring; 1; 32; 500; 5.538; BA DC
2022-11-30 11:28:52.469; Monitoring; 1; 32; 500; 5.538; BA DC
2022-11-30 11:29:52.875; Monitoring; 1; 32; 500; 5.533; BA DC
2022-11-30 11:30:53.669; Monitoring; 1; 32; 500; 5.533; BA DC
2022-11-30 11:31:53.696; Monitoring; 0; 32; 500; 5.533; BA DC
2022-11-30 11:32:54.455; Monitoring; 0; 32; 500; 5.533; BA DC
2022-11-30 11:35:10.638; Monitoring; 1; 32; 500; 5.533; BA DC
2022-11-30 11:36:10.707; Monitoring; 1; 32; 500; 5.533; BA DC
2022-11-30 11:52:33.568; Monitoring; 1; 32; 500; 6.500; BA DC
2022-11-30 11:53:34.083; Monitoring; 1; 32; 500; 5.537; BA DC
2022-12-12 11:26:15.088; Test signal; 1; 32; 5000; 6.500; BA DC
2022-12-12 11:27:15.151; Test signal; 1; 32; 5000; 5.531; BA DC
2022-12-12 11:28:15.950; Saving Test signal; 0; 32; 5000; 5.531; BA DC
2022-12-12 11:29:16.509; Saving Test signal; 1; 32; 5000; 5.531; BA DC
2022-12-12 11:30:17.306; Test signal; 1; 32; 5000; 5.531; BA DC
2022-12-12 13:20:03.239; ImpedanceCheck; 0; 32; 5000; 5.544; BA DC
2022-12-12 13:21:03.987; Test signal; 0; 32; 1000; 5.544; BA DC
2022-12-12 13:22:04.631; Test signal; 1; 32; 1000; 5.540; BA DC
2022-12-12 13:23:20.040; ImpedanceCheck; 0; 32; 1000; 5.542; BA DC
2022-12-12 13:33:00.524; ImpedanceCheck; 0; 32; 1000; 5.540; BA DC
2022-12-12 13:34:01.341; Saving Test signal; 1; 32; 1000; 5.540; BA DC
2022-12-12 13:35:50.208; ImpedanceCheck; 0; 32; 1000; 5.541; BA DC
2022-12-12 13:36:50.914; Saving Test signal; 1; 32; 1000; 5.541; BA DC
2022-12-12 13:38:41.104; ImpedanceCheck; 0; 32; 1000; 5.542; BA DC
2022-12-12 13:39:41.396; Test signal; 0; 32; 1000; 5.540; BA DC
2022-12-12 13:41:40.285; ImpedanceCheck; 0; 32; 1000; 5.540; BA DC
2022-12-12 13:42:40.953; Saving Test signal; 0; 32; 1000; 5.540; BA DC
2022-12-12 13:44:30.372; ImpedanceCheck; 0; 32; 1000; 5.541; BA DC
2022-12-12 13:45:30.639; Saving Test signal; 1; 32; 1000; 5.540; BA DC
2022-12-12 13:47:22.711; ImpedanceCheck; 0; 32; 1000; 5.542; BA DC
2022-12-14 10:43:56.731; ImpedanceCheck; 0; 32; 5000; 5.545; BA DC
2022-12-14 10:45:00.120; ImpedanceCheck; 0; 32; 5000; 5.549; BA DC
2022-12-14 10:46:02.595; ImpedanceCheck; 0; 32; 5000; 5.549; BA DC
2022-12-14 10:47:02.903; Test signal; 1; 32; 5000; 5.549; BA DC
2022-12-14 10:48:35.835; Test signal; 0; 32; 5000; 5.545; BA DC
2022-12-14 10:49:39.993; ImpedanceCheck; 0; 32; 5000; 5.543; BA DC
2022-12-14 10:50:42.913; ImpedanceCheck; 0; 32; 5000; 5.542; BA DC
2022-12-14 10:51:45.392; ImpedanceCheck; 0; 32; 5000; 5.542; BA DC
2022-12-14 10:52:45.761; Test signal; 1; 32; 5000; 5.542; BA DC
2022-12-14 10:53:52.886; ImpedanceCheck; 0; 32; 5000; 5.543; BA DC
2022-12-14 10:54:53.211; Test signal; 0; 32; 5000; 5.543; BA DC
2022-12-14 10:55:53.292; Saving Test signal; 1; 32; 5000; 5.543; BA DC
2023-01-12 11:48:13.957; Monitoring; 1; 32; 1000; 5.528; BA DC
2023-01-12 11:49:14.084; Monitoring; 0; 32; 1000; 5.523; BA DC
2023-01-12 11:50:14.904; Monitoring; 1; 32; 1000; 5.520; BA DC
2023-01-12 11:51:15.663; Monitoring; 1; 32; 1000; 5.517; BA DC
2023-01-12 11:52:15.703; Monitoring; 1; 32; 1000; 5.516; BA DC
2023-01-12 11:53:23.052; Monitoring; 1; 32; 1000; 5.513; BA DC
2023-01-12 11:54:59.327; Monitoring; 1; 32; 1000; 5.523; BA DC
2023-01-12 11:55:59.640; Monitoring; 0; 32; 1000; 5.523; BA DC
2023-01-12 11:56:59.718; Monitoring; 1; 32; 1000; 5.522; BA DC
2023-01-12 11:57:59.725; Monitoring; 1; 32; 1000; 5.521; BA DC
2023-01-12 11:59:00.463; Monitoring; 0; 32; 1000; 5.516; BA DC
